"","x"
"1",1
"2",1
"3",2
"4",3
"5",4
"6",1
"7",1
"8",1
"9",1
"10",1
"11",1
"12",1
"13",1
"14",5
"15",4
"16",1
"17",1
"18",1
"19",1
"20",3
"21",6
"22",1
"23",3
"24",3
"25",1
"26",6
"27",1
"28",1
"29",1
"30",1
"31",1
"32",2
"33",3
"34",1
"35",1
"36",6
"37",7
"38",7
"39",1
"40",5
"41",6
"42",8
"43",1
"44",9
"45",1
"46",1
"47",10
"48",2
"49",3
"50",6
"51",8
"52",1
"53",1
"54",1
"55",10
"56",1
"57",5
"58",6
"59",1
"60",1
"61",8
"62",1
"63",9
"64",1
"65",1
"66",1
"67",2
"68",3
"69",1
"70",6
"71",7
"72",7
"73",1
"74",1
"75",1
"76",1
"77",1
"78",2
"79",6
"80",8
"81",9
"82",1
"83",5
"84",3
"85",6
"86",11
"87",1
"88",1
"89",1
"90",1
"91",1
"92",1
"93",1
"94",1
"95",5
"96",3
"97",1
"98",6
"99",1
"100",1
"101",1
"102",6
"103",1
"104",11
"105",1
"106",1
"107",7
"108",7
"109",9
"110",12
"111",12
"112",1
"113",1
"114",6
"115",1
"116",1
"117",1
"118",1
"119",11
"120",1
"121",1
"122",1
"123",1
"124",10
"125",1
"126",1
"127",1
"128",1
"129",3
"130",6
"131",1
"132",1
"133",1
"134",7
"135",7
"136",1
"137",1
"138",1
"139",1
"140",1
"141",1
"142",1
"143",1
"144",1
"145",1
"146",1
"147",2
"148",3
"149",4
"150",1
"151",1
"152",1
"153",1
"154",1
"155",1
"156",1
"157",1
"158",1
"159",1
"160",6
"161",1
"162",1
"163",1
"164",9
"165",1
"166",1
"167",1
"168",1
"169",1
"170",1
"171",1
"172",3
"173",6
"174",1
"175",1
"176",1
"177",1
"178",1
"179",12
"180",12
"181",1
"182",8
"183",1
"184",1
"185",1
"186",1
"187",1
"188",1
"189",1
"190",1
"191",1
"192",1
"193",1
