"","x"
"1",1
"2",2
"3",3
"4",0
"5",4
"6",4
"7",0
"8",2
"9",0
"10",5
"11",2
"12",3
"13",0
"14",2
"15",2
"16",6
"17",14
"18",10
"19",7
"20",8
"21",9
"22",9
"23",1
"24",10
"25",11
"26",0
"27",12
"28",10
"29",12
"30",12
"31",12
"32",15
"33",12
"34",11
"35",10
"36",0
"37",8
"38",1
"39",13
"40",13
"41",9
"42",1
"43",10
"44",2
"45",10
"46",0
"47",8
"48",1
"49",5
"50",5
"51",1
"52",8
"53",1
"54",2
"55",8
"56",1
"57",11
"58",0
"59",1
"60",2
"61",6
"62",14
"63",0
"64",0
"65",2
"66",4
"67",15
"68",13
"69",6
"70",7
"71",12
"72",12
"73",12
"74",6
"75",6
"76",6
"77",16
"78",5
"79",0
"80",17
"81",3
"82",16
"83",0
"84",4
"85",2
"86",7
"87",3
"88",13
"89",15
"90",7
"91",0
"92",14
"93",6
"94",14
"95",12
"96",2
"97",12
"98",6
"99",15
"100",0
"101",0
"102",6
"103",0
"104",0
"105",13
"106",0
"107",2
"108",16
"109",6
"110",17
"111",17
"112",0
"113",0
"114",2
"115",0
"116",5
"117",2
"118",2
"119",13
"120",4
"121",15
"122",15
"123",13
"124",9
